realtime_start,value,date,realtime_end
2019-12-06,156309.0,1952-01-01,2019-12-06
2019-12-06,156527.0,1952-02-01,2019-12-06
2019-12-06,156731.0,1952-03-01,2019-12-06
2019-12-06,156943.0,1952-04-01,2019-12-06
2019-12-06,157140.0,1952-05-01,2019-12-06
2019-12-06,157343.0,1952-06-01,2019-12-06
2019-12-06,157553.0,1952-07-01,2019-12-06
2019-12-06,157798.0,1952-08-01,2019-12-06
2019-12-06,158053.0,1952-09-01,2019-12-06
2019-12-06,158306.0,1952-10-01,2019-12-06
2019-12-06,158451.0,1952-11-01,2019-12-06
2019-12-06,158757.0,1952-12-01,2019-12-06
2019-12-06,158973.0,1953-01-01,2019-12-06
2019-12-06,159170.0,1953-02-01,2019-12-06
2019-12-06,159349.0,1953-03-01,2019-12-06
2019-12-06,159556.0,1953-04-01,2019-12-06
2019-12-06,159745.0,1953-05-01,2019-12-06
2019-12-06,159956.0,1953-06-01,2019-12-06
2019-12-06,160184.0,1953-07-01,2019-12-06
2019-12-06,160449.0,1953-08-01,2019-12-06
2019-12-06,160718.0,1953-09-01,2019-12-06
2019-12-06,160978.0,1953-10-01,2019-12-06
2019-12-06,161223.0,1953-11-01,2019-12-06
2019-12-06,161453.0,1953-12-01,2019-12-06
2019-12-06,161690.0,1954-01-01,2019-12-06
2019-12-06,161912.0,1954-02-01,2019-12-06
2019-12-06,162124.0,1954-03-01,2019-12-06
2019-12-06,162350.0,1954-04-01,2019-12-06
2019-12-06,162564.0,1954-05-01,2019-12-06
2019-12-06,162790.0,1954-06-01,2019-12-06
2019-12-06,163026.0,1954-07-01,2019-12-06
2019-12-06,163290.0,1954-08-01,2019-12-06
2019-12-06,163570.0,1954-09-01,2019-12-06
2019-12-06,163847.0,1954-10-01,2019-12-06
2019-12-06,164107.0,1954-11-01,2019-12-06
2019-12-06,164349.0,1954-12-01,2019-12-06
2019-12-06,164588.0,1955-01-01,2019-12-06
2019-12-06,164809.0,1955-02-01,2019-12-06
2019-12-06,165018.0,1955-03-01,2019-12-06
